Stock A,Stock B,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Timestep 1
UNHPL,TPC,-2.1053288698885186,1.548232692748079,-0.0951592256763979,0.15000000000000002,"(10247.555097955292,)","(-0.5167673389428514,)","(-0.04561631741102849,)","(0.08709116704527697,)","(40.0,)",0.6,"(1.803863716192483,)","(21.398333333333326,)",17.793749999999996,10247.555097955292
UNHPL,CKHL,-1.211191829500876,2.4342761129860335,-0.0461736841613547,0.05,"(11397.57186795657,)","(2.2691216641587078,)","(1.7928326168211168,)","(0.006778904306220079,)","(7.0,)",0.42857142857142855,"(1.230218855218855,)","(12.17916666666666,)",7.424999999999997,11397.57186795657
UNHPL,BNHC,-1.2676635998557095,2.6732653407450995,0.3804885228824052,0.15000000000000002,"(12966.642061630851,)","(0.3516616184907903,)","(0.04179130623464292,)","(0.17884669513967227,)","(61.0,)",0.5901639344262295,"(2.144424733907754,)","(11.752638888888887,)",7.892000000000001,12966.642061630851
UNHPL,MKJC,-2.010630971217293,2.2607397691399878,-0.4452077425724934,0.15000000000000002,"(13348.798247497161,)","(0.5825224484338624,)","(0.10743977508182764,)","(0.0711907392970897,)","(36.0,)",0.6111111111111112,"(2.129202659309845,)","(21.399454545454546,)",15.79357142857143,13348.798247497161
UNHPL,BHL,-1.8352403725802977,1.0715883037354417,-0.0621363304894188,0.1,"(11117.969540941302,)","(0.051361362829965944,)","(0.005701109643205705,)","(0.1285533949409243,)","(64.0,)",0.5,"(1.4422849127182045,)","(7.229453125000002,)",5.174193548387098,11117.969540941302
UNHPL,NRM,-1.5549509818074294,2.2180814726171247,0.15817750003472641,0.1,"(9912.936411047021,)","(-1.0122116897383187,)","(-0.10124218217160955,)","(0.044266217291528104,)","(6.0,)",0.6666666666666666,"(1.5932653061224489,)","(19.5175,)",24.5,9912.936411047021
UNHPL,SPC,-2.5006004906675185,1.739702388682916,-0.1108295324639802,0.1,"(12755.122537409949,)","(0.3959721662668156,)","(0.06387107477439281,)","(0.07910785109151403,)","(39.0,)",0.5897435897435898,"(1.7994312393887946,)","(23.04054347826087,)",19.633333333333333,12755.122537409949
UNHPL,SAHAS,-1.9985359300718613,2.75644626785518,-0.19247109205559432,0.05,"(12089.755579094539,)","(0.20478077130657404,)","(0.029365327851856065,)","(0.10080312490303628,)","(29.0,)",0.6206896551724138,"(1.8667735250307615,)","(16.013805555555553,)",14.037272727272732,12089.755579094539
UNHPL,UHEWA,-1.0522467734830592,1.2054221833442877,0.265036108069058,0.1,"(11472.830719795858,)","(0.22584974720433068,)","(0.027945647541729575,)","(0.08174344445065199,)","(51.0,)",0.5490196078431373,"(1.6337375745526825,)","(14.67446428571428,)",11.431818181818185,11472.830719795858
UNHPL,MBJC,-2.0827023469832335,2.8041028278828795,0.47786994634790925,0.05,"(11255.305628798567,)","(-0.009381352210356962,)","(-0.0013588581170930938,)","(0.08619305010909206,)","(24.0,)",0.4166666666666667,"(0.5727792207792209,)","(11.026000000000005,)",13.750000000000002,11255.305628798567
UNHPL,NWCL,-1.4744103536803819,2.8074725340998326,-0.029896590465515405,0.05,"(10779.565311097693,)","(1.7676851899290378,)","(3.503655924376787,)","(0.0010000000000000922,)","(3.0,)",0.3333333333333333,"(28.675000000000146,)","(31.542499999999997,)",0.5499999999999972,10779.565311097693
UNHPL,NYADI,-1.8676798053657242,1.4060263187957698,-0.14277609241556743,0.2,"(12679.565493323507,)","(0.28521671073228017,)","(0.03321120553436665,)","(0.11393691873079509,)","(71.0,)",0.5352112676056338,"(1.4662595312058742,)","(13.663223684210529,)",10.73030303030303,12679.565493323507
UNHPL,LVF2,-1.9918330168489493,2.718172630747751,-0.3963095785231595,0.05,"(19723.553671205224,)","(1.1546517067338369,)","(0.622949168652575,)","(0.14360357782198982,)","(6.0,)",0.8333333333333334,"(24.813125000000017,)","(1.9850500000000033,)",0.40000000000000036,19723.553671205224
UNHPL,C30MF,-2.5558612401593725,1.8835041813662976,-0.05750122567239058,0.05,"(18385.637166366014,)","(1.2298309201885662,)","(0.6707954276979484,)","(0.06971041968974016,)","(6.0,)",0.8333333333333334,"(3.349999999999991,)","(0.2479,)",0.370000000000001,18385.637166366014
UNHPL,MMKJL,-1.6277238110011953,2.5270352317484512,-0.21939355163630603,0.05,"(10967.130375463272,)","(0.8437888362785864,)","(0.10372392446128488,)","(0.06833777786919,)","(6.0,)",0.8333333333333334,"(5.592045454545455,)","(12.3025,)",11.0,10967.130375463272
UNHPL,BHPL,-2.0539334454813574,2.2657555020830706,-0.471362045866359,0.1,"(11474.295076837616,)","(0.49007879183275144,)","(0.10234511445972594,)","(0.037422387080464976,)","(18.0,)",0.5555555555555556,"(1.26193724420191,)","(18.499999999999996,)",18.325,11474.295076837616
UNHPL,SIGS3,-1.269528069248742,2.610209250744778,-0.13840150119181716,0.05,"(10989.851252980512,)","(2.060391588645866,)","(0.6166477557363613,)","(0.01526006194690277,)","(4.0,)",0.25,"(0.54093567251462,)","(9.25,)",5.699999999999998,10989.851252980512
NICLBSL,NSIF2,-2.3864513468134954,2.9343239146328357,0.15456673077383576,0.05,"(34787.187774265585,)","(0.8354997229610538,)","(1.7149890833717045,)","(0.07167732931745302,)","(7.0,)",0.5714285714285714,"(1.8556191588785067,)","(19.855125,)",14.266666666666652,34787.187774265585
NICLBSL,SFEF,-2.112487797815212,1.7218824336536898,-0.11101601243805281,0.1,"(80148.61918739763,)","(-0.5401130325922429,)","(-0.0392485748790799,)","(11.1122203886199,)","(18.0,)",0.7777777777777778,"(10.82635790494666,)","(7.972839285714288,)",2.5774999999999997,80148.61918739763
NICLBSL,SGIC,-1.5894984663678793,1.6809762055365918,0.3644510635391276,0.1,"(11036.55038022039,)","(0.20920953141652912,)","(0.01831894048073465,)","(0.10369430389899992,)","(26.0,)",0.6153846153846154,"(1.4636390797729315,)","(30.617500000000003,)",37.18888888888888,11036.55038022039
NICLBSL,NIBLGF,-2.3238036437948777,2.5611755641384883,-0.4270509793475129,0.05,"(279310.72151276685,)","(0.3631524580028592,)","(0.04229800224523851,)","(10.94046087494518,)","(10.0,)",0.5,"(0.7655934678704175,)","(5.766449999999992,)",7.532000000000009,279310.72151276685
NICLBSL,CITY,-2.2726537957036905,1.2268864685505816,0.2932042725937032,0.05,"(10354.616032696766,)","(-0.08313445436899128,)","(-0.011227016434426739,)","(0.04767026592913561,)","(17.0,)",0.5294117647058824,"(0.7929863147605085,)","(18.02722222222222,)",29.228571428571417,10354.616032696766
NICLBSL,NIFRA,-2.414058071817716,1.2049233943223014,-0.456687339188266,0.1,"(6582.5948338012395,)","(-0.7251644059108964,)","(-0.0646755952482852,)","(0.4642453386793313,)","(59.0,)",0.5254237288135594,"(0.7442739695301853,)","(13.915282258064517,)",20.699642857142855,6582.5948338012395
NICLBSL,KDBY,-1.62671794707916,1.359677924884886,-0.25679525777725587,0.15000000000000002,"(83950.0538319852,)","(0.9445672411878997,)","(0.4892473053018572,)","(0.42449318216548426,)","(21.0,)",0.6666666666666666,"(0.4020374087591242,)","(7.86844642857143,)",45.666666666666664,83950.0538319852
NICLBSL,MSLBP,-1.5846325888448531,2.8301317701525903,-0.05124303764585658,0.1,"(9798.743297025152,)","(-1.0646644609870812,)","(-0.13935504400941046,)","(0.057457933980943614,)","(37.0,)",0.24324324324324326,"(0.20177474521848388,)","(32.11805555555556,)",53.05925925925926,9798.743297025152
NICLBSL,LVF2,-1.1802327087370856,2.095582670076227,0.30082977105635356,0.05,"(93141.8765946292,)","(1.6684473662768755,)","(1.3168921139559733,)","(0.2589022170653934,)","(16.0,)",0.75,"(1.7462378464664041,)","(10.027770833333333,)",17.227500000000013,93141.8765946292
